File Name,Create Time,Changed Time,Extension,Size (MB),Path
FileManagementCSA.exe,2022/4/18 16:21:08,2022/4/18 17:06:22,.exe,0.0068359375,D:\code\cs\FileManagementCSA\FileManagementCSA\bin\Debug
FileManagementCSA.exe.config,2022/4/18 16:21:08,2022/4/18 16:16:39,.config,0.000180244445800781,D:\code\cs\FileManagementCSA\FileManagementCSA\bin\Debug
FileManagementCSA.pdb,2022/4/18 16:21:08,2022/4/18 17:06:22,.pdb,0.02294921875,D:\code\cs\FileManagementCSA\FileManagementCSA\bin\Debug
t01.csv,2022/4/18 16:46:05,2022/4/18 16:52:28,.csv,0.509492874145508,D:\code\cs\FileManagementCSA\FileManagementCSA\bin\Debug
