WKT,Id
"POLYGON ((113.443313845696 22.672715396544,113.192431748122 22.6424198531537,113.097102269348 22.5477936937379,113.032856822191 22.8333290144375,112.974697628588 23.3492744232363,113.098504668651 23.1251078335198,113.436175462679 23.3330158256619,113.810940571097 23.3330158256619,113.997424318473 23.0981129133404,114.160721338954 22.3943184588618,113.655293752595 22.4640263794036,113.443313845696 22.672715396544))","0"
"POLYGON ((112.784203147081 22.8407648300807,113.325530525908 22.2042590110211,113.271992653276 21.9663129104381,112.883126692083 22.0045393796175,112.784203147081 22.8407648300807))","0"
