WKT,Id
"LINESTRING (113.184412589338 25.05827056258,110.549159525381 23.2320342406052,112.9008983153 22.6133743790893,114.6991016847 24.1659726853936,114.641832455409 25.1356030452694,113.624612875417 23.9008983153,111.3008983153 22.1910200505545,115.0991016847 22.0066118226026,111.792427900928 24.7008983153,111.857863078588 25.296216663163,114.7008983153 23.2991016847,110.406391865031 23.880437364694,112.417036414958 25.3557031883087)","0"
"LINESTRING (113.713842663135 25.2486274430464,110.816848888537 22.5657851589727,114.528808057632 25.2783707056193,110.364751297429 21.0964679878725,115.284286926983 25.141551697784,111.066692294149 20.739548836998,115.569822247683 25.0463732575508,111.025051726547 25.0880138251528,115.022546216342 20.4718594738421)","0"
