WKT,FID_poly,Id,FID_mian01,Id_1
"POLYGON ((114.7489082007 23.4818776462,114.7212970846 23.2435501176,113.6727424715 23.4382803502,113.8386939571 24.1832780339,114.7489082007 23.4818776462))","1","0","0","0"
"POLYGON ((112.9862658399 21.8858130897,111.8612592525 21.5688570869,112.3685529647 22.2679578713,113.1487206743 22.1008983153,112.9862658399 21.8858130897))","2","0","1","0"
"POLYGON ((114.6358838029 22.5062986338,114.4939101705 22.1179570315,113.9884825841 22.1876649520,113.9601683791 22.2155395921,114.0172239414 22.5008983153,114.6753101327 22.8466101118,114.6358838029 22.5062986338))","3","0","0","0"
